baseline,estimate,upper,lower,NL,Model,dropped
25,-0.2920719020988821,-0.16993265579293126,-0.414211148404833,8,TNL8,BHS
30,-0.3493975768225941,-0.19808915248616718,-0.500706001159021,8,TNL8,BHS
0,0.07354585661238651,0.14653264366948732,5.590695552857017e-4,9,TNL9,BHS
25,-0.20075699782374518,-0.0634433062345667,-0.3380706894129236,9,TNL9,BHS
30,-0.25561756871097147,-0.08744998964526746,-0.4237851477766755,9,TNL9,BHS
0,-0.0982098591328464,-0.002631803959019477,-0.1937879143066733,10,TNL10,BHS
25,-0.3264858266373917,-0.17396817584570742,-0.4790034774290759,10,TNL10,BHS
30,-0.37214102013830064,-0.18888046742807404,-0.5554015728485272,10,TNL10,BHS
0,-0.004935454672917781,0.05619771402578037,-0.06606862337161593,8,TNL8,BIH
25,-0.29165884317647844,-0.16948695438306638,-0.4138307319698905,8,TNL8,BIH
30,-0.34900352087719066,-0.19766557065422277,-0.5003414711001586,8,TNL8,BIH
0,0.07388346112626236,0.1469169251183453,8.499971341794088e-4,9,TNL9,BIH
25,-0.20069990981088026,-0.06332575788858366,-0.3380740617331769,9,TNL9,BIH
30,-0.2556165839983088,-0.08739286311446551,-0.4238403048821521,9,TNL9,BIH
0,-0.09807111576953081,-0.002416638655523537,-0.19372559288353808,10,TNL10,BIH
25,-0.3273939453391298,-0.17477167025152235,-0.48001622042673725,10,TNL10,BIH
30,-0.37325851125304965,-0.18990503702949407,-0.5566119854766052,10,TNL10,BIH
0,-0.004247471350345465,0.05692588173525483,-0.06542082443594575,8,TNL8,BLR
25,-0.2918034411998603,-0.1696535431605332,-0.4139533392391874,8,TNL8,BLR
30,-0.3493146351697633,-0.19797321435609452,-0.5006560559834321,8,TNL8,BLR
0,0.07558476113477781,0.14864646490888955,0.0025230573606660756,9,TNL9,BLR
25,-0.2005812130904918,-0.06326876524878797,-0.33789366093219564,9,TNL9,BLR
30,-0.2558144079355457,-0.087624880210359,-0.42400393566073247,9,TNL9,BLR
